material_id,formula_pretty,symmetry.crystal_system,symmetry.number,bulk_modulus.vrh,shear_modulus.vrh,youngs_modulus_vrh
mp-cltmd,Si,Triclinic,1,67.85,28.045,73.94667091258448
mp-bq,Ta,Tetragonal,113,195.555,60.284,163.99984941626005
mp-bigr,Bi,Monoclinic,12,43.62,11.548,31.834685130048875
mp-bglwt,Te,Monoclinic,12,42.656,20.96,54.03032230339493
mp-ckipy,C,Tetragonal,139,149.065,64.776,169.7410790064281
mp-cewcu,Si,Tetragonal,139,81.337,46.823,117.85410632525772
mp-da,Ge,Tetragonal,141,69.319,39.008,98.54011689105744
mp-dg,Sn,Tetragonal,141,47.261,25.121,64.01998890979245
mp-do,Si,Tetragonal,141,107.613,62.896,157.92148815119188
mp-ey,Ge,Trigonal,148,55.811,40.309,97.46305701783943
mp-fr,Se,Trigonal,148,4.152,4.031,9.136313944319767
mp-bgnlo,Si,Trigonal,148,79.59,60.71,145.20896253506078
mp-t,Te,Trigonal,152,19.355,14.952,35.670647109577224
mp-bfqdk,S,Trigonal,154,6.378,4.006,9.937442178046673
mp-bghft,Te,Trigonal,154,19.198,15.001,35.7035991734968
mp-cfyco,Tm,Trigonal,166,43.971,28.525,70.36023245739787
mp-cfyda,Li,Trigonal,166,13.804,4.151,11.318474112766937
mp-ea,Sb,Trigonal,166,32.445,20.273,50.33515887524658
mp-pty,Dy,Trigonal,166,41.039,27.353,67.14200772911543
mp-ptz,Ho,Trigonal,166,42.255,27.815,68.42997428515979
mp-l,As,Trigonal,166,31.388,20.3,50.09948630136987
mp-rhy,Tb,Trigonal,166,40.128,26.556,65.26985512454063
mp-cpkij,Hg,Trigonal,166,11.457,2.516,7.03316366199474
mp-fa,P,Trigonal,166,49.335,39.838,94.16730764521435
mp-ge,B,Trigonal,166,210.223,172.392,406.1545396227683
mp-gn,C,Trigonal,166,115.697,80.084,195.21111238251308
mp-bigm,Bi,Trigonal,166,27.767,8.365,22.804950526912926
mp-ftpiy,Hg,Trigonal,166,7.622,3.832,9.845963592778483
mp-bgjsx,Ga,Trigonal,166,47.111,12.714,34.994016670237
mp-di,Sm,Trigonal,166,36.407,23.389,57.79134233466556
mp-cdikq,Yb,Trigonal,166,14.69,9.767,23.98527165332392
mp-cdkfb,Lu,Trigonal,166,44.851,28.755,71.0756028179881
mp-cdmkn,Re,Trigonal,166,365.253,182.644,469.6495709005689
mp-cimmv,Li,Hexagonal,191,13.65,5.187,13.811538461538463
mp-bi,Si,Hexagonal,191,106.499,56.749,144.56872832933774
mp-cu,Ti,Hexagonal,191,112.881,62.245,157.7410663452136
mp-bqyab,H2,Hexagonal,191,14.134,8.451,21.139714589109786
mp-cfiua,Ge,Hexagonal,194,59.529,45.231,108.27103178028578
mp-cfkbq,Au,Hexagonal,194,120.075,12.694,36.78570534083809
mp-pbg,Na,Hexagonal,194,7.777,4.588,11.502127010279738
mp-pbh,Li,Hexagonal,194,14.344,7.956,20.143715697811253
mp-pen,Ni,Hexagonal,194,197.345,80.204,211.90488118065156
mp-dz,Hf,Hexagonal,194,108.287,56.604,144.6143057213637
mp-cigyq,Pr,Hexagonal,194,32.605,13.525,35.646161532243575
mp-prp,Ag,Hexagonal,194,90.122,33.559,89.56037766554249
mp-ptp,Si,Hexagonal,194,87.289,64.435,155.1329763072246
mp-ei,Y,Hexagonal,194,41.717,27.122,66.87355122707243
mp-ej,Tc,Hexagonal,194,296.007,145.8,375.7133830711507
mp-cpkhu,Hg,Hexagonal,194,7.877,3.948,10.148502991406504
mp-cpnub,Re,Hexagonal,194,364.898,196.072,498.8638730056416
mp-et,Nd,Hexagonal,194,33.844,21.438,53.101805708709435
mp-fb,Zr,Hexagonal,194,93.831,33.105,88.864129126695
mp-fc,Ca,Hexagonal,194,17.349,10.874,26.984269703278716
mp-fg,Fe,Hexagonal,194,295.605,180.477,449.8760716514318
mp-fj,Sr,Hexagonal,194,11.529,7.697,18.887721525872667
mp-fn,Tm,Hexagonal,194,45.516,31.32,76.4293973836586
mp-fo,Ho,Hexagonal,194,43.126,28.414,69.8922599117826
mp-fx,Mg,Hexagonal,194,36.448,24.389,59.82347250117771
mp-gj,Si,Hexagonal,194,88.815,61.322,149.5477606653507
mp-s,Tb,Hexagonal,194,38.449,23.903,59.399770362657094
mp-bedo,Ce,Hexagonal,194,34.679,23.828,58.16275687639306
mp-bero,Ce,Hexagonal,194,31.937,32.268,72.41536898320567
mp-ba,La,Hexagonal,194,25.86,16.922,41.67558654843284
mp-bh,Ru,Hexagonal,194,310.062,193.869,481.2955673005324
mp-bm,Pr,Hexagonal,194,32.216,19.899,49.50445447759274
mp-bu,Ti,Hexagonal,194,112.944,48.257,126.72291765459623
mp-bw,C,Hexagonal,194,115.976,89.734,214.00741543931164
mp-ce,Ba,Hexagonal,194,8.259,4.782,12.025130823099564
mp-bgnbd,Tb,Hexagonal,194,40.022,26.483,65.09170061890562
mp-cp,Sc,Hexagonal,194,54.533,32.26,80.83933452126276
mp-cq,Sm,Hexagonal,194,35.412,19.245,48.88019269849619
mp-cr,Sm,Hexagonal,194,36.692,24.026,59.16435197088783
mp-i,Re,Hexagonal,194,365.046,168.04,437.05714361713075
mp-de,Tl,Hexagonal,194,26.378,11.153,29.32586647025596
mp-mrm,Ag,Hexagonal,194,88.449,32.087,85.87642154898231
mp-bxcek,Ac,Hexagonal,194,24.648,17.221,41.90389811879558
mp-bxivw,Pm,Hexagonal,194,35.282,22.869,56.417484535601915
mp-bxivy,Sr,Hexagonal,194,11.444,6.8870000000000005,17.208895218224608
mp-bxjbr,Tc,Hexagonal,194,299.67,149.971,385.5897162389023
mp-dj,Be,Hexagonal,194,120.019,133.872,292.7640452615659
mp-dk,Dy,Hexagonal,194,40.246,26.543,65.27825179079447
mp-dq,Cd,Hexagonal,194,41.91,13.413,36.36007179664087
mp-cdjxc,Mg,Hexagonal,194,35.997,24.167,59.24314450127877
mp-cdkva,Ho,Hexagonal,194,42.273,28.439,69.68926962217728
mp-cdokh,Li,Hexagonal,194,13.866,6.849,17.642250417982538
mp-cdxfm,Na,Hexagonal,194,7.773,3.678,9.530756972996999
mp-ceibf,Cu,Hexagonal,194,132.163,65.761,169.21695919307734
mp-dv,Er,Hexagonal,194,44.76,31.02,75.59647186932848
mp-gm,Si,Cubic,206,86.24,62.471,150.9615504793098
mp-cdhjp,Si,Cubic,217,79.715,47.329,118.52901525094774
mp-bgkix,Ga,Cubic,220,62.324,38.547,95.87497750522128
mp-k,As,Cubic,221,79.731,32.38,85.55787217433252
mp-ptu,Te,Cubic,221,50.533,5.86,16.92574206618866
mp-fd,Sb,Cubic,221,56.475,22.101,58.65201473951317
mp-bghqr,Bi,Cubic,221,46.757,16.698,44.765115876383234
mp-lmh,Se,Cubic,221,70.526,4.975,14.582119157896681
mp-qty,W,Cubic,223,298.22,134.395,350.52887561889315
mp-r,Cr,Cubic,223,252.155,116.144,302.05580377924133
mp-cdhjq,Si,Cubic,223,75.91,45.957,114.71996415613455
mp-ovi,Ac,Cubic,225,23.574,13.226,33.426734597608046
mp-dy,Co,Cubic,225,200.587,120.256,300.6800566302456
mp-cgexp,Sn,Cubic,225,46.107,15.269,41.25314178657464
mp-pxc,Pa,Cubic,225,94.772,50.133,127.85459691612175
mp-pxm,Dy,Cubic,225,41.225,26.058,64.56939652581596
mp-pxo,Er,Cubic,225,42.186,26.865,66.48248313486243
mp-ek,Pu,Cubic,225,34.9,17.687,45.39278436435242
mp-rxd,Ge,Cubic,225,63.414,27.414,71.88353440291102
mp-eu,Ag,Cubic,225,87.692,13.21,37.73517977747697
mp-ew,Pt,Cubic,225,248.014,49.52,139.2895319080299
mp-ga,La,Cubic,225,20.188,14.36,34.823249159147935
mp-gd,Nd,Cubic,225,31.862,18.911,47.36264302121453
mp-gg,Yb,Cubic,225,14.766,8.32,21.013304952677792
mp-c,Pd,Cubic,225,166.982,48.469,132.5792980206219
mp-behv,Pb,Cubic,225,39.516,11.204,30.70962587089216
mp-bfqf,Sm,Cubic,225,36.46,22.798,56.59743467142792
mp-x,Ni,Cubic,225,173.808,91.592,233.72114434859773
mp-bc,Ce,Cubic,225,39.338,33.95,79.09587731304784
mp-be,Cu,Cubic,225,151.394,49.843,134.74208675760133
mp-bk,Sc,Cubic,225,50.651,22.413,58.59610111489625
mp-bl,Th,Cubic,225,55.005,39.908,96.40819166223412
mp-bt,Ca,Cubic,225,17.224,7.495,19.636704919972285
mp-bz,Li,Cubic,225,13.874,3.618,9.985967904509282
mp-kir,Ti,Cubic,225,108.54,37.093,99.89900549470244
mp-kpn,Tb,Cubic,225,40.344,25.572,63.33449914054186
mp-cw,Rh,Cubic,225,252.9,150.16,376.05261096318463
mp-bqwjg,Hg,Cubic,225,6.758,3.256,8.41633795155121
mp-cy,Sr,Cubic,225,10.978,5.411,13.942303351153994
mp-dh,In,Cubic,225,35.245,11.555,31.249925611731605
mp-muc,Mn,Cubic,225,280.959,120.902,317.20606608153946
mp-mud,Zr,Cubic,225,89.974,29.84,80.60867434831633
mp-mug,Tc,Cubic,225,298.021,140.215,363.6189986009565
mp-muh,Ru,Cubic,225,303.897,198.805,489.6426351513198
mp-mui,Hf,Cubic,225,102.549,45.446,118.79016770652488
mp-muk,Re,Cubic,225,363.048,195.364,496.95181754259215
mp-j,Y,Cubic,225,39.59,23.2,58.226329506233725
mp-dt,Pr,Cubic,225,32.21,16.891,43.13327040811832
mp-cdlra,Na,Cubic,225,7.76,2.856,7.631735537190082
mp-en,Sn,Cubic,227,35.858,22.399,55.61655172997469
mp-ft,Si,Cubic,227,88.916,62.445,151.79920769882713
mp-xzw,Si,Cubic,227,61.244,37.17,92.7468077246924
mp-bg,Ge,Cubic,227,57.916,45.07,107.36076136332476
mp-cfxxd,Hg,Cubic,229,24.448,2.877,8.305218561813675
mp-pth,Sc,Cubic,229,53.18,10.981,30.82157751831153
mp-eg,Mg,Cubic,229,36.66,9.504,26.244097619764986
mp-es,Ba,Cubic,229,8.934,5.667,14.033718377529333
mp-ez,Mo,Cubic,229,262.529,117.048,305.7105346664677
mp-n,Fe,Cubic,229,207.093,67.563,182.80885780919283
mp-ff,Li,Cubic,229,13.87,3.745,10.307316723624739
mp-fq,V,Cubic,229,181.232,40.746,113.71583775293357
mp-u,Be,Cubic,229,125.076,111.454,257.7904761959555
mp-by,Ta,Cubic,229,194.527,64.83,175.0443294299449
mp-bgjdq,Bi,Cubic,229,52.755,16.667,45.23705362655203
mp-ct,Yb,Cubic,229,15.868,10.038,24.869831997501826
mp-kpm,Sn,Cubic,229,46.763,11.057,30.74760098714205
mp-cx,Nb,Cubic,229,172.05,25.854,73.86223404255318
mp-dm,Cr,Cubic,229,233.652,76.972,208.06804189590812
mp-dn,W,Cubic,229,302.264,148.152,382.0384258804259
mp-dr,Sr,Cubic,229,12.611,7.209,18.165585253763155
mp-cevqp,Ge,Cubic,229,61.324,19.966,54.03384781649324
mp-eb,Te,Orthorhombic,51,34.252,11.377,30.728755364355624
mp-rbq,Np,Orthorhombic,62,166.958,112.037,274.6716260827429
mp-bs,U,Orthorhombic,63,147.81,113.597,271.2919717177084
mp-cm,Ce,Orthorhombic,63,44.169,32.576,78.4432321680609
mp-cjkeu,Ge,Orthorhombic,64,61.934,17.699,48.47901874683662
mp-fm,Ga,Orthorhombic,64,50.024,30.01,75.0268331093613
mp-djzau,Hg,Orthorhombic,64,6.181,3.265,8.328534712032281
mp-gb,P,Orthorhombic,64,20.688,12.609,31.439676027479816
mp-bign,I,Orthorhombic,64,4.837,3.174,7.813047328244275
mp-bigo,Br,Orthorhombic,64,4.11,2.895,7.033566502463054
mp-cbjfs,C,Orthorhombic,69,118.816,91.861,219.11451517591664
mp-cjigx,Zr,Orthorhombic,72,88.774,28.123,76.31075690876055
mp-fh,Ge,Tetragonal,96,53.667,42.715,101.2756638899252
mp-beedm,B4C,Triclinic,1,219.382,186.743,436.40345114446995
mp-bfrqy,SiO2,Triclinic,1,42.63,38.011,87.90592202578647
mp-bjzos,Al4C3,Triclinic,1,137.887,86.229,214.06454041289084
mp-bkbew,B9C,Triclinic,1,193.287,107.233,271.4922613776281
mp-bmysl,Al2O3,Triclinic,1,141.633,83.335,209.0117435964536
mp-bqvqw,Al2O3,Triclinic,1,166.16,81.144,209.35293114156764
mp-fubiu,Al2O3,Monoclinic,10,89.312,49.715,125.8025780494946
mp-bghgz,NbRh,Monoclinic,10,217.831,60.562,166.27644816995888
mp-bgjvl,LiSn,Monoclinic,10,34.696,19.881,50.07800808266583
mp-behe,Sn7Ir5,Tetragonal,107,135.271,57.92,152.05747031158015
mp-lfz,GeAs,Tetragonal,107,68.076,36.685,93.29638724352775
mp-cwm,TaAs,Tetragonal,109,175.774,92.363,235.7893537168077
mp-dbf,NbAs,Tetragonal,109,161.259,85.622,218.24039536774742
mp-bqwo,Ba2S3,Tetragonal,109,33.026,13.188,34.916377104377105
mp-nvf,NbP,Tetragonal,109,185.947,104.288,263.586652486147
mp-boi,TiNi,Monoclinic,11,146.751,40.28,110.7107576794934
mp-ptc,SrSb2,Monoclinic,11,29.551,13.043,34.11051798497483
mp-sum,NbPt3,Monoclinic,11,249.254,101.745,268.67716695683504
mp-cbv,AlAu,Monoclinic,11,92.438,26.205,71.82759599893251
mp-xcw,HfSe3,Monoclinic,11,14.39,10.616,25.562007957461045
mp-ckp,Mo2S3,Monoclinic,11,98.313,62.627,154.97400272676933
mp-cmt,ZrSe3,Monoclinic,11,15.158,11.664,27.848825790192166
mp-elgps,Ag2S,Monoclinic,11,9.903,6.9190000000000005,16.836019247570167
mp-dcj,ZrTe3,Monoclinic,11,19.908,10.753,27.337096017140347
mp-dhy,Er2S3,Monoclinic,11,69.36,33.204,85.90401750634108
mp-dlq,Nb2Se3,Monoclinic,11,68.479,42.182,104.9888360828531
mp-fkwew,LiBe,Monoclinic,11,34.988,27.752,65.84649012929864
mp-brwm,TaSe3,Monoclinic,11,19.248,13.686,33.19128030239395
mp-brwv,Si5Pt6,Monoclinic,11,180.761,70.297,186.69007175062848
mp-btnk,Li7Sn3,Monoclinic,11,30.336,23.766,56.534479795075534
mp-bgjkq,Si5Rh4,Monoclinic,11,181.55,90.151,232.04472968694122
mp-bgnch,ZrI2,Monoclinic,11,10.245,7.71,18.491365587202495
mp-bjobs,BaSb2,Monoclinic,11,28.581,15.19,38.71190304459394
mp-bmyvv,Sb6O13,Monoclinic,11,119.442,70.699,177.14555007750127
mp-lax,Te2Mo,Monoclinic,11,18.341,10.737,26.951731341240876
mp-lcf,CaSb2,Monoclinic,11,34.216,17.996,45.934818341566924
mp-bsdup,Y2O3,Monoclinic,11,128.193,63.43,163.34836556854881
mp-bseps,Ti2O3,Monoclinic,11,206.646,108.773,277.61012009150403
mp-oow,DyP5,Monoclinic,11,66.326,42.871,105.81460958697369
mp-ooz,LuP5,Monoclinic,11,68.608,46.754,114.2984974463334
mp-orp,ZrS3,Monoclinic,11,18.634,11.217,28.02720842086444
mp-orq,HfS3,Monoclinic,11,16.695,12.408,29.83316595458691
mp-otz,Ta2Se3,Monoclinic,11,70.995,45.809,113.10111360773435
mp-cfznq,CN2,Tetragonal,113,84.186,92.215,202.65191273678624
mp-bepn,Cu3Se2,Tetragonal,113,73.545,16.086,44.978704170732634
mp-jf,BaS3,Tetragonal,113,33.079,19.508,48.909395662975285
mp-biid,Bi2O3,Tetragonal,114,20.242,25.082,53.25131218534403
mp-bosl,SeO3,Tetragonal,114,5.11,3.287,8.119951119944137
mp-bpnc,P2Rh3,Tetragonal,115,209.142,60.797,166.27874332302176
mp-bgmoo,MgCl2,Tetragonal,115,5.603,3.946,9.587325560106
mp-bjzjr,Ta2H,Tetragonal,115,202.519,64.761,175.56869908436187
mp-bdwp,Si3Ru2,Tetragonal,116,200.155,115.548,290.70364568799727
mp-fekuc,GaAs,Tetragonal,119,65.249,23.295,62.45276748294848
mp-cgijr,ReGe2,Monoclinic,12,157.22,96.466,240.25913385410982
mp-bno,V3Te4,Monoclinic,12,49.227,32.562,80.03842682378787
mp-chcqp,MgCd,Monoclinic,12,41.755,20.186,52.15363160102027
mp-ciojo,NaN3,Monoclinic,12,5.642,3.789,9.287851412020276
mp-cipap,NaN3,Monoclinic,12,88.221,50.804,127.86699450655696
mp-bpp,V3S4,Monoclinic,12,97.046,70.615,170.49237908185972
mp-qtt,P2W,Monoclinic,12,189.376,116.307,289.62836483815113
mp-bsd,Ti3O5,Monoclinic,12,170.755,76.573,199.84614365071548
mp-rhb,NbTe2,Monoclinic,12,28.028,19.583,47.65114179054086
mp-rhn,VTe2,Monoclinic,12,25.137,17.848,43.296696125843084
mp-rhq,Tc2P3,Monoclinic,12,185.303,131.667,319.3604938348633
mp-rhw,As3W2,Monoclinic,12,134.969,76.425,192.8711418002543
mp-rhx,TaSb2,Monoclinic,12,101.369,72.515,175.65877010636663
mp-buh,TiO,Monoclinic,12,195.566,107.51,272.5807048319812
mp-spd,TaAs2,Monoclinic,12,133.144,96.926,233.9965067471462
mp-ttz,SiPt3,Monoclinic,12,203.951,59.761,163.33018876765524
mp-txf,Zn13Rh,Monoclinic,12,88.419,40.635,105.71101756502294
mp-ces,Re3P4,Monoclinic,12,183.793,136.862,328.93782569477844
mp-chr,Te2Ir,Monoclinic,12,87.362,47.591,120.83171975316215
mp-xer,Ti3Te4,Monoclinic,12,52.172,34.865,85.54031497379573
mp-cjj,Nb2O5,Monoclinic,12,135.559,49.941,133.43663230753057
mp-cog,Zn13Fe,Monoclinic,12,83.349,42.179,108.2730394934058
mp-cpd,Sm2O3,Monoclinic,12,133.404,55.025,145.1222020617832
mp-cxt,NbSb2,Monoclinic,12,96.221,69.318,167.68662443537508
mp-bdvy,Ni3Sn4,Monoclinic,12,96.833,50.419,128.88731965751293
mp-elwww,TiCl3,Monoclinic,12,6.83,4.9190000000000005,11.900150733991893
mp-bfkv,CoGe,Monoclinic,12,156.743,83.056,211.76431580830854
mp-bhhu,FeGe,Monoclinic,12,136.965,76.238,192.9194676402543
mp-bhpc,V3Se4,Monoclinic,12,80.248,53.787,131.8933918127464
mp-bhuz,MoCl3,Monoclinic,12,12.057,8.227,20.107582571287
mp-fdxgq,ZrCl3,Monoclinic,12,7.86,4.879,12.127638356934536
mp-fehfz,CuBr2,Monoclinic,12,12.606,5.1,13.481881727946314
mp-dqq,Er2O3,Monoclinic,12,152.954,69.138,180.25455088636363
mp-dse,AlCu,Monoclinic,12,112.579,68.61,171.07646102961263
mp-dsq,AsPd5,Monoclinic,12,151.799,44.754,122.2481051002597
mp-blrp,AlCl3,Monoclinic,12,10.009,6.716,16.46528579593392
mp-dyh,LiN3,Monoclinic,12,35.899,18.796,48.00912648130726
mp-ebd,Al8Mo3,Monoclinic,12,142.751,104.805,252.59759162230003
mp-bopz,YCl3,Monoclinic,12,5.717,3.334,8.374142152794727
mp-ece,Nb6C5,Monoclinic,12,235.464,160.992,393.3325754129658
mp-bows,CrCl3,Monoclinic,12,10.055,7.434,17.892492619484564
mp-boyc,IrCl3,Monoclinic,12,12.169,6.513,16.58089895397489
mp-boyo,Y2Cl3,Monoclinic,12,15.328,11.944,28.443907747548685
mp-bpcz,Nb2Se,Monoclinic,12,119.719,57.905,149.5963627829915
mp-ecy,Fe3Se4,Monoclinic,12,85.127,32.298,86.01561676034747
mp-bpeu,Cr3Se4,Monoclinic,12,59.625,34.015,85.74052033914228
mp-edl,AuSe,Monoclinic,12,9.015,6.012,14.755834467737543
mp-bsiv,SrN,Monoclinic,12,39.109,25.771,63.38944185802737
mp-bszq,Mn2Au5,Monoclinic,12,127.572,32.116,88.88880599375169
mp-btwh,CuCl2,Monoclinic,12,6.14,4.404,10.662681388012619
mp-bulw,Mg5Si6,Monoclinic,12,47.255,20.315,53.30619400913129
mp-buoh,Ga3Pd7,Monoclinic,12,150.991,50.274,135.75499467657033
mp-bwix,Nb10C7,Monoclinic,12,226.442,133.288,334.27680505627524
mp-sq,Te3As2,Monoclinic,12,15.222,11.435,27.435108491970368
mp-bewzk,GaTe,Monoclinic,12,9.638,7.349,17.578991203154732
mp-bfnyk,TiO2,Monoclinic,12,180.571,60.573,163.4431891941702
mp-bfqwj,Tm2O3,Monoclinic,12,155.798,71.182,185.32225558509847
mp-bfuhp,Y2O3,Monoclinic,12,142.737,62.537,163.70335471769627
mp-bgidl,Al13Os4,Monoclinic,12,147.4,78.001,198.915662599649
mp-bgigw,RbSb2,Monoclinic,12,13.935,6.536,16.956878012453195
mp-bgimu,Ca3N2,Monoclinic,12,68.719,30.316,79.28840432522952
mp-bgiry,Mg5Si6,Monoclinic,12,62.938,23.069,61.67201001496108
mp-bgivs,Li9Al4,Monoclinic,12,31.163,23.614,56.556601777922
mp-bgjiw,Bi2Pd,Monoclinic,12,55.534,19.911,53.356266136944875
mp-bglnn,InBr3,Monoclinic,12,5.717,3.834,9.40056240171551
mp-bgnbb,Al3Mo,Monoclinic,12,135.713,98.633,238.19433056990104
mp-wb,Ni3Se4,Monoclinic,12,88.611,34.383,91.3355987588936
mp-bhbjn,MgZn5,Monoclinic,12,62.771,11.369,32.165099963942666
mp-bighb,TaTe2,Monoclinic,12,24.147,18.072,43.39112896490006
mp-bkorc,V2H,Monoclinic,12,190.35,44.977,125.07949740839281
mp-bkpia,Gd2O3,Monoclinic,12,94.858,60.907,150.50797541398802
mp-bmzgz,Sc2S3,Monoclinic,12,55.493,38.964,94.72244499934287
mp-khi,BaSb3,Monoclinic,12,27.116,16.98,42.14330729802294
mp-bnpjm,CdCl2,Monoclinic,12,7.855,5.381,13.142050542389278
mp-klc,Al2O3,Monoclinic,12,186.365,102.826,260.5575399632282
mp-bqykw,NbO2,Monoclinic,12,160.143,48.466,132.0742599986765
mp-bqypg,Al2O3,Monoclinic,12,128.947,53.564,141.1479296829055
mp-bqypj,YBr3,Monoclinic,12,4.557,2.819,7.011258156458459
mp-braab,ZrO2,Monoclinic,12,159.745,45.236,124.00308764450273
mp-brert,B8O,Monoclinic,12,204.847,179.969,417.60958035392883
mp-lgg,NbAs2,Monoclinic,12,125.156,90.659,219.07904977827934
mp-brpva,TiO2,Monoclinic,12,155.372,65.111,171.39158331184223
mp-bsdvr,ZrO2,Monoclinic,12,127.742,50.589,134.06880892085337
mp-bic,Ga2O3,Monoclinic,12,155.545,70.553,183.86020809288368
mp-bjh,CaC2,Monoclinic,12,57.644,24.134,63.535174327382705
mp-nry,Al2Te5,Monoclinic,12,5.745,4.37,10.458266604952557
mp-odg,GeAs,Monoclinic,12,20.046,15.662,37.27762622691293
mp-cdhkb,BiS2,Monoclinic,12,23.495,11.797,30.31689354901437
mp-cdkap,LiMg2,Monoclinic,12,29.769,23.398,55.62145031719977
mp-cdoeo,LiMg,Monoclinic,12,25.743,18.66,45.08629164971999
mp-cdvom,YMg5,Monoclinic,12,37.533,17.204,44.77138115451878
mp-orb,SrAs3,Monoclinic,12,37.824,22.866,57.09305003740703
mp-orr,VP2,Monoclinic,12,154.817,123.748,293.1399867119801
mp-oxm,GeSe2,Tetragonal,122,13.587,10.677,25.38231640032661
mp-chhos,TiS2,Tetragonal,122,6.954,8.086,17.482050435263233
mp-bhxd,ZnCl2,Tetragonal,122,6.868,5.593,13.196721609344582
mp-bfcwo,SiO2,Tetragonal,122,35.06,33.443,76.12448309443599
mp-lfq,GeS2,Tetragonal,122,17.991,13.525,32.4447313253726
mp-lfr,SiS2,Tetragonal,122,27.416,18.786,45.878939604489574
mp-cfkyh,NaAs,Tetragonal,123,42.172,26.894,66.53780009125872
mp-cfydg,MgNi,Tetragonal,123,88.25,39.279,102.61305911607118
mp-chdei,MgCd,Tetragonal,123,41.638,12.967,35.24256071539951
mp-chdez,MgAl,Tetragonal,123,55.516,34.684,86.11777697384113
mp-ciqqt,SnO,Tetragonal,123,87.558,47.731,121.17420171066831
mp-qux,Ga2Cu,Tetragonal,123,70.807,30.62,80.28683662427328
mp-qze,Hg2Pt,Tetragonal,123,82.793,25.105,68.40131190490119
mp-rnl,CeAg,Tetragonal,123,39.055,26.525,64.88555136056789
mp-roo,Hg2Rh,Tetragonal,123,88.269,38.861,101.6636408215551
mp-bty,CdPt,Tetragonal,123,139.891,49.526,132.89494434983877
mp-bvn,TiIr,Tetragonal,123,227.385,82.089,219.81496143247443
mp-bwd,VRh,Tetragonal,123,232.563,101.713,266.314224596636
mp-spx,CdTe,Tetragonal,123,34.687,5.92,16.804023967776253
mp-syc,Al2Cu,Tetragonal,123,99.432,58.974,147.71776223024605
mp-bxh,VIr,Tetragonal,123,273.207,126.573,328.9237370972549
mp-cah,NbIr,Tetragonal,123,258.818,109.754,288.4839642025349
mp-cgs,TiHg,Tetragonal,123,104.414,47.479,123.68908589741102
mp-cjp,TaRu,Tetragonal,123,253.312,75.517,206.07294573841975
mp-clo,ZnPd,Tetragonal,123,140.545,58.525,154.17478574850048
mp-cmg,MnPt,Tetragonal,123,166.177,69.08,182.01825623534427
mp-cng,CdPd,Tetragonal,123,111.855,45.078,119.21878823464506
mp-cxd,TiAl,Tetragonal,123,113.483,68.456,170.98673342707966
mp-cxl,TiAg,Tetragonal,123,98.421,40.299,106.37798949523487
mp-cxn,NbRh,Tetragonal,123,227.229,76.178,205.56254327353815
mp-bdqo,CaPb,Tetragonal,123,34.167,18.789,47.635203784318584
mp-berq,FeSi2,Tetragonal,123,185.12,124.055,304.2110556876136
mp-bffm,UPb,Tetragonal,123,58.263,16.258,44.62335805325391
mp-dhd,FeNi,Tetragonal,123,184.902,87.323,226.33833691936036
mp-diy,FePt,Tetragonal,123,200.39,92.583,240.68273049630054
mp-bhxs,NaBi,Tetragonal,123,29.484,12.854,33.669141255206995
mp-dkz,MgIn,Tetragonal,123,38.92,14.062,37.65144516977267
mp-je,MnPd,Tetragonal,123,131.6,42.263,114.52879150145402
mp-dui,TlSn,Tetragonal,123,35.834,4.601,13.236488818318866
mp-dvj,TiRh,Tetragonal,123,187.501,51.647,141.91122254009605
mp-dza,VPt,Tetragonal,123,241.671,140.06,352.15058421659216
mp-dzh,HgPd,Tetragonal,123,114.745,38.262,103.30370881340245
mp-eay,MnIr,Tetragonal,123,265.335,186.427,453.1514368475375
mp-ecl,TiGa,Tetragonal,123,116.187,80.336,195.8651832211463
mp-eex,FePd,Tetragonal,123,168.069,77.686,201.9434415021318
mp-qn,ZnNi,Tetragonal,123,144.695,62.202,163.21778630107175
mp-qq,NbRu,Tetragonal,123,234.476,50.729,141.95001443466015
mp-uc,CuAu,Tetragonal,123,138.201,31.3,87.30872342191016
mp-bfobj,CaF2,Tetragonal,123,76.358,35.479,92.16281553412738
mp-bglmt,Ti3Pd5,Tetragonal,123,160.452,43.074,118.60836533379099
mp-bhcsf,RbN3,Tetragonal,123,16.297,8.126,20.903674307662623
mp-biggy,Fe3Co,Tetragonal,123,182.283,94.289,241.26714698395665
mp-bigia,Fe11Co5,Tetragonal,123,193.849,98.488,252.67258715801387
mp-xz,HgPt,Tetragonal,123,143.364,27.186,76.70923013134244
mp-bkdht,NbO,Tetragonal,123,129.596,69.155,176.13524482304567
mp-bknac,Fe13Co3,Tetragonal,123,170.181,82.143,212.27530420323748
mp-bmgmj,Cu3Pd,Tetragonal,123,152.324,65.218,171.21813839407113
mp-brdlw,Mn11Pd21,Tetragonal,123,142.138,56.025,148.5566735898217
mp-bdr,MnAl,Tetragonal,123,122.529,80.027,197.15794087539712
mp-lmg,Si2Ru,Tetragonal,123,173.191,94.85,240.62331187146316
mp-bik,ZnPt,Tetragonal,123,174.196,64.5,172.24126195732154
mp-bkj,NiPt,Tetragonal,123,216.646,93.38,244.94715763643555
mp-bkn,CoPt,Tetragonal,123,218.25,108.106,278.3581835890391
mp-cebnl,CsIr,Tetragonal,123,44.499,15.369,41.346890351053965
