material_id,formula_pretty,symmetry.crystal_system,symmetry.number,bulk_modulus.vrh,shear_modulus.vrh,youngs_modulus_vrh
mp-bdqd,PrIn,Cubic,221,51.835,20.53,54.40709489590139
mp-czk,LiHg,Cubic,221,32.253,13.906,36.475777906293764
mp-bdtw,FeSe,Cubic,221,112.111,64.91,163.22808146185727
mp-bduh,YIn3,Cubic,221,54.648,29.977,76.02914518798893
mp-bdxe,ThIn3,Cubic,221,65.84,31.631,81.794386059847
mp-bdxm,UGa3,Cubic,221,83.085,52.872,130.8583181244973
mp-bdxx,CePb3,Cubic,221,50.804,18.878,50.392324175375094
mp-bdzj,CaIn,Cubic,221,34.02,15.815,41.079420572640515
mp-czz,HfCo,Cubic,221,123.98,60.459,156.0164602138303
mp-beas,SmIn,Cubic,221,55.174,21.916,58.06048109774966
mp-becm,Fe3Ge,Cubic,221,175.908,71.192,188.1886291633551
mp-begc,PuTe,Cubic,221,19.367,33.153,63.325085574331
mp-behh,YbIn3,Cubic,221,38.382,21.04,53.368301587534695
mp-behz,La3Ga,Cubic,221,40.212,15.802,41.91552365176857
mp-bekj,CaPb3,Cubic,221,38.108,18.658,48.120584560316445
mp-bekp,NaPb3,Cubic,221,32.491,14.898,38.76852801879489
mp-belq,LaIn,Cubic,221,49.919,20.995,55.24061003677848
mp-bemj,NdPb3,Cubic,221,47.766,8.571,24.261840625802503
mp-dbh,ThTl3,Cubic,221,58.019,26.727,69.50785080982548
mp-bepz,Zr3In,Cubic,221,96.578,51.211,130.55684530349467
mp-berh,LaIn3,Cubic,221,49.718,29.861,74.63990605256544
mp-bern,Ce3Sn,Cubic,221,38.321,33.177,77.24032910085056
mp-dbx,DyMg,Cubic,221,41.646,19.61,50.848870548191606
mp-bevx,Pd3Pb,Cubic,221,129.07,42.248,114.27553856256024
mp-beww,EuB6,Cubic,221,143.683,107.737,258.5809177280033
mp-bexr,NpAs,Cubic,221,83.6,19.027,53.05590174445108
mp-dck,FeCo,Cubic,221,189.836,91.403,236.28630658590944
mp-bexz,PrIn3,Cubic,221,52.62,30.543,76.77454148819287
mp-beyq,TbIn3,Cubic,221,55.261,31.329,79.04869729392426
mp-dcn,Pr3Al,Cubic,221,42.665,21.141,54.43237638799485
mp-bezj,PrPb3,Cubic,221,47.139,8.839,24.95710380284315
mp-bezl,UIn3,Cubic,221,61.685,41.165,101.02275318274245
mp-bezn,TePb,Cubic,221,40.408,9.136,25.48716931574102
mp-bfap,SnPt3,Cubic,221,198.87,57.089,156.30986871633579
mp-bfbp,InNi,Cubic,221,116.101,40.305,108.37413857923667
mp-bfbx,GdIn,Cubic,221,104.041,18.822,53.25458102705887
mp-bfca,Ni3Ge,Cubic,221,190.994,85.736,223.7308746018782
mp-dcx,CuAu3,Cubic,221,135.617,23.973,67.91710087878111
mp-bffb,UAs,Cubic,221,97.753,28.717,78.46720286294631
mp-bfhf,CeP,Cubic,221,72.137,11.588,32.997127197926304
mp-bfjh,NdIn3,Cubic,221,53.471,31.022,77.9846749967352
mp-bfjm,Sm3In,Cubic,221,44.614,24.021,61.09763558275213
mp-bfjy,PbSe,Cubic,221,56.543,13.524,37.57616740102537
mp-bfjz,InPd,Cubic,221,110.79,29.49,81.26008373404079
mp-bfll,EuMg,Cubic,221,17.65,12.637,30.606483754402554
mp-ddu,HfIr3,Cubic,221,278.691,150.309,382.2128644592055
mp-bfmv,TiZn3,Cubic,221,100.968,33.181,89.71531866045792
mp-if,CaPd,Cubic,221,55.058,18.707,50.41157082025875
mp-dec,ErAl3,Cubic,221,76.715,59.683,142.1782302089515
mp-bfox,CeB6,Cubic,221,172.63,117.511,287.33558079071327
mp-bfqj,ThPb3,Cubic,221,58.108,20.125,54.12633389732012
mp-ig,ZrRu,Cubic,221,180.261,77.994,204.48964312829983
mp-bfsg,YbPb3,Cubic,221,39.636,20.904,53.33561136383143
mp-bfsh,HoIn3,Cubic,221,55.314,30.395,77.06861809032429
mp-bfsi,LaPb3,Cubic,221,45.604,15.239,41.13510732583146
mp-bfuf,Pr3Pb,Cubic,221,42.807,21.821,55.95521840097977
mp-bfuh,Nd3In,Cubic,221,41.855,19.312,50.2131728293656
mp-bfui,PuGe3,Cubic,221,76.629,50.621,124.45751807791582
mp-dff,HoRh,Cubic,221,113.966,41.48,110.97607875256273
mp-dfj,DyAg,Cubic,221,66.847,18.225,50.120124585173194
mp-ij,ErTl,Cubic,221,57.284,21.314,56.886618680306064
mp-dfv,TiRe,Cubic,221,228.62,69.775,189.99602255057005
mp-bgie,UTl3,Cubic,221,51.996,27.469,70.0682073510414
mp-bgif,FePd3,Cubic,221,166.438,69.408,182.8119157268402
mp-dgt,YB6,Cubic,221,172.001,84.351,217.49852113752885
mp-dgv,LuPd,Cubic,221,102.592,40.255,106.79671822337667
mp-dha,ZrCu,Cubic,221,105.385,29.697,81.44109360362235
mp-dhc,ScCo,Cubic,221,119.727,58.07,149.96470232545877
mp-dhm,MnHg,Cubic,221,69.323,21.852,59.32275886015638
mp-dhq,DyPd,Cubic,221,91.251,34.497,91.90907290510947
mp-bgyk,GdB6,Cubic,221,167.657,96.068,241.9846689180504
mp-dhs,ErMg,Cubic,221,42.316,19.228,50.096243104203154
mp-bham,GaRu,Cubic,221,204.343,89.664,234.6684779384454
mp-bhfx,Fe3Sn,Cubic,221,124.102,60.607,156.3664043953404
mp-diw,Cu3Au,Cubic,221,104.875,44.872,117.81338648166744
mp-djg,TbAg,Cubic,221,65.884,23.666,63.40603428550774
mp-bhpg,YIn,Cubic,221,56.047,20.93,55.83920003596533
mp-djv,ZrCo,Cubic,221,128.339,48.526,129.28361160484658
mp-bhvl,CsCl,Cubic,221,14.588,7.445,19.087834950887544
mp-bhvv,TlBr,Cubic,221,19.646,7.329,19.55528099959256
mp-iv,ZrRh3,Cubic,221,209.808,110.129,281.1881056367833
mp-bhwv,KI,Cubic,221,12.418,5.209,13.710012434354615
mp-bhxa,CsBr,Cubic,221,12.31,6.573,16.73959657954624
mp-dkp,DyZn,Cubic,221,59.752,25.072,65.98664547198622
mp-dkx,NbO,Cubic,221,242.599,147.84,368.6373753507446
mp-bigt,SrBi3,Cubic,221,42.244,14.827,39.82202538870719
mp-dlc,TmZn,Cubic,221,63.975,34.632,88.01422953164104
mp-biif,TlI,Cubic,221,16.52,6.535,17.32104109100633
mp-iy,DyRh,Cubic,221,112.175,41.33,110.42790157600137
mp-biij,BaBi3,Cubic,221,39.346,17.54,45.81244420186166
mp-bilt,KCl,Cubic,221,18.701,8.644,22.469967658733225
mp-bimd,RbCl,Cubic,221,16.534,8.333,21.403303667903685
mp-bimg,RbI,Cubic,221,11.14,5.547,14.272133343598428
mp-dlt,NdPd3,Cubic,221,115.77,50.728,132.78889211582816
mp-dlu,DyCu,Cubic,221,71.228,31.884,83.23275820953869
mp-dml,TmPt3,Cubic,221,179.331,77.422,203.0458830837727
mp-dnp,ErRh,Cubic,221,114.582,44.03,117.091849779254
mp-dnz,YbPd3,Cubic,221,107.848,39.152,104.77695939299028
mp-dob,YTl3,Cubic,221,46.531,15.556,41.98883733701152
mp-doh,YHg,Cubic,221,65.407,31.429,81.26988546892159
mp-dol,YPt3,Cubic,221,169.488,70.92,186.71692804771965
mp-dov,Ce3Al,Cubic,221,43.376,30.324,73.77910163787301
mp-doz,DyIr3,Cubic,221,212.008,96.074,250.398320071903
mp-ji,SrB6,Cubic,221,144.836,110.605,264.48877942738477
mp-dpi,LiAg,Cubic,221,41.392,18.419,48.11945181808618
mp-dpn,ErTl3,Cubic,221,47.25,19.207,50.74508564399188
mp-dpq,SrTl,Cubic,221,25.126,18.121,43.826930919047264
mp-dqa,GaRh,Cubic,221,179.773,58.842,159.16087105979827
mp-dqf,NbRh3,Cubic,221,248.556,148.259,371.01013397738285
mp-dqp,YbIn,Cubic,221,35.186,23.996,58.65437812803926
mp-jm,TiF3,Cubic,221,102.198,30.021,82.03073369279443
mp-dqv,DyPt3,Cubic,221,172.498,72.237,190.16575732664555
mp-dre,YAg,Cubic,221,65.962,20.315,55.27088450557055
mp-dro,SmSn3,Cubic,221,57.389,13.663,37.97531702631437
mp-dsn,ThRh3,Cubic,221,170.311,76.264,199.07694170099643
mp-dst,CrPt3,Cubic,221,231.851,95.103,250.99098834006196
mp-dsu,YZn,Cubic,221,60.055,30.473,78.1934130356346
mp-dtd,PrAg,Cubic,221,54.408,13.044,36.236194703519644
mp-dts,VTc,Cubic,221,254.937,125.024,322.37346406019094
mp-duk,SmMg,Cubic,221,36.23,23.128,57.21029722799618
mp-dum,Ti3Hg,Cubic,221,115.477,47.565,125.46820664422988
mp-duq,SrMg,Cubic,221,19.806,11.488,28.880235128197896
mp-duz,NpAl3,Cubic,221,95.504,53.34,134.9047533632287
mp-dvd,Mn3Rh,Cubic,221,238.125,151.231,374.4277845520942
mp-dwa,BaTe,Cubic,221,31.625,14.228,37.11762737963209
mp-dwp,LaZn,Cubic,221,49.02,26.359,67.05760971981155
mp-dwv,ErAg,Cubic,221,69.968,16.924,46.98381984587441
mp-ftrdu,TaO3,Cubic,221,187.237,73.013,193.8427028582502
mp-dxk,GdMg,Cubic,221,216.967,21.921,63.62039657294202
mp-dxn,Na3N,Cubic,221,21.088,11.725,29.675168358025843
mp-dxq,CdAg,Cubic,221,73.469,27.634,73.66597100479356
mp-dyg,AlFe,Cubic,221,170.575,96.914,244.44695451655252
mp-dyp,CsAu,Cubic,221,10.059,6.1370000000000005,15.29957446164014
mp-fwben,MgCu,Cubic,221,80.417,43.487,110.53616556623984
mp-dyz,ScPd3,Cubic,221,143.721,55.443,147.37777714824725
mp-dzc,LaB6,Cubic,221,181.75,134.517,323.6935343286744
mp-dzk,HoGa3,Cubic,221,69.38,43.833,108.6235503803979
mp-dzs,MgAg,Cubic,221,63.271,36.044,90.87546242091236
mp-eaj,ErIr,Cubic,221,140.411,56.862,150.2974357355756
mp-ebn,LiPd,Cubic,221,72.655,24.82,66.84792676648063
mp-ebr,TbPd3,Cubic,221,126.101,45.911,122.82670326533308
mp-ecb,CdAu,Cubic,221,90.157,31.869,85.52927464774756
mp-ecr,BeCo,Cubic,221,196.762,120.555,300.32846471995845
mp-ecw,HoAg,Cubic,221,68.602,18.274,50.35119837558015
mp-ecz,ScPd,Cubic,221,110.671,32.904,89.81129203627128
mp-eds,USi3,Cubic,221,129.573,100.19,238.97549406944853
mp-edu,HfRu,Cubic,221,198.115,98.917,254.40954948489895
mp-eea,ZrRh,Cubic,221,164.388,42.54,117.48575646252408
mp-eel,InTe,Cubic,221,37.644,2.024,5.9650918960297865
mp-eer,ErPd3,Cubic,221,129.717,49.925,132.74488021435923
mp-ky,AlCo,Cubic,221,178.781,123.627,301.40677331242324
mp-lf,TiOs,Cubic,221,248.343,130.443,333.0220195974286
mp-lo,YbPt3,Cubic,221,158.564,68.3,179.17412535478465
mp-bsww,Y3Al,Cubic,221,49.823,32.502,80.09036777288689
mp-bsxb,InAg3,Cubic,221,77.989,14.93,42.1032874241152
mp-bsxj,MgAg3,Cubic,221,77.693,17.218,48.10070702405542
mp-bsxl,AgPt3,Cubic,221,200.369,62.854,170.711740801041
mp-bsxs,TmAg3,Cubic,221,74.075,18.548,51.35745245521715
mp-bsxu,Zr3Ag,Cubic,221,97.309,21.026,58.84005363744715
mp-btbw,ThBi,Cubic,221,73.55,25.236,67.93786632829848
mp-lt,TiFe,Cubic,221,198.715,94.979,245.77900328305773
mp-btmj,PaIr3,Cubic,221,259.63,131.2,336.8580074498127
mp-btmo,YIr,Cubic,221,130.242,46.637,124.99197551233186
mp-btnt,MgPt3,Cubic,221,183.899,78.069,205.17350774573413
mp-btpp,PaRh3,Cubic,221,212.903,92.757,242.98353189211804
mp-btqj,SmPt3,Cubic,221,160.432,64.907,171.58169840883335
mp-btqu,ZnPt3,Cubic,221,211.734,67.417,182.84481305230858
mp-btqw,ZrPt3,Cubic,221,221.479,103.854,269.44649956071333
mp-btrf,ScRu,Cubic,221,148.847,55.613,148.36176531303144
mp-btrq,TbTl,Cubic,221,52.636,14.522,39.89688527518414
mp-bujh,InPd3,Cubic,221,143.036,37.467,103.37495216846166
mp-me,MnV,Cubic,221,243.086,120.425,310.0717372831986
mp-bwwj,Nd2O3,Cubic,221,113.322,45.787,121.05691913219081
mp-bwwm,La2O3,Cubic,221,100.901,33.76,91.11777473303157
mp-mt,ScAl,Cubic,221,78.486,43.156,109.41401488798121
mp-nk,TmPd,Cubic,221,97.651,38.402,101.85433543480558
mp-nt,SmPd3,Cubic,221,120.483,50.999,134.07899335916284
