mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
4.537723207473755,0.02169956059668961,0.06449213027954101,0.007411589282386048,200,10,4,sqrt,,"{'model__n_estimators': 200, 'model__min_samples_split': 10, 'model__min_samples_leaf': 4, 'model__max_features': 'sqrt', 'model__max_depth': None}",-26.69858630248728,-26.824305122540192,-26.365606012505317,-28.957580334013212,-25.264859563068967,-26.82218746692299,1.2007432076656106,16
5.087140321731567,0.07704267677956897,0.08267445564270019,0.008137815002325667,200,10,1,sqrt,,"{'model__n_estimators': 200, 'model__min_samples_split': 10, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': None}",-26.191292559224262,-26.2026353690028,-25.77794445686388,-28.5127856796954,-24.72084581674219,-26.281100776305703,1.2395323041093218,13
94.12559876441955,0.4205929621511512,0.20745344161987306,0.01233254133052659,600,10,2,0.6,15,"{'model__n_estimators': 600, 'model__min_samples_split': 10, 'model__min_samples_leaf': 2, 'model__max_features': 0.6, 'model__max_depth': 15}",-25.943378276025825,-26.119019544653256,-25.145673531047194,-28.08959062592017,-24.460425885196535,-25.951617572568598,1.2224744193376145,9
66.17409205436707,0.44274899249712446,0.14403901100158692,0.010092230844088178,400,10,2,0.6,25,"{'model__n_estimators': 400, 'model__min_samples_split': 10, 'model__min_samples_leaf': 2, 'model__max_features': 0.6, 'model__max_depth': 25}",-25.62561159182217,-25.881215944617782,-24.965602116092967,-27.958319295087474,-24.254552018777865,-25.737060193279653,1.2458067041957976,3
62.408117628097536,0.24903512009036097,0.12757601737976074,0.0092595426121234,400,5,4,0.6,25,"{'model__n_estimators': 400, 'model__min_samples_split': 5, 'model__min_samples_leaf': 4, 'model__max_features': 0.6, 'model__max_depth': 25}",-25.805253879520276,-25.93477923923732,-25.102973613398763,-28.042186386128638,-24.387563946895575,-25.854551413036113,1.2256863335394093,7
10.979310989379883,0.06740716647590865,0.17748751640319824,0.01600873306755905,400,5,2,sqrt,25,"{'model__n_estimators': 400, 'model__min_samples_split': 5, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': 25}",-25.765272607358614,-25.69182998238451,-25.317777806048035,-28.06429452362941,-24.089099162021196,-25.785654816288353,1.2883033365249472,5
9.099323844909668,0.06104417095846104,0.19030389785766602,0.028747220638568688,600,10,4,log2,25,"{'model__n_estimators': 600, 'model__min_samples_split': 10, 'model__min_samples_leaf': 4, 'model__max_features': 'log2', 'model__max_depth': 25}",-27.117725769572107,-27.286974777289238,-27.002755055626174,-29.404748635292528,-25.64944211417274,-27.292329270390553,1.2062969833527026,19
31.96368827819824,0.10207592978770523,0.06277117729187012,0.004427717231580173,200,10,2,0.6,15,"{'model__n_estimators': 200, 'model__min_samples_split': 10, 'model__min_samples_leaf': 2, 'model__max_features': 0.6, 'model__max_depth': 15}",-25.98828258597688,-26.103858261324202,-25.135348802624335,-28.220699945246942,-24.492545442750945,-25.98814700758466,1.2618851414613432,10
5.528329610824585,0.06934495319378634,0.08086624145507812,0.0026278652034261102,200,2,2,sqrt,,"{'model__n_estimators': 200, 'model__min_samples_split': 2, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': None}",-25.719392823514205,-25.673148534593206,-25.107722603573038,-28.131967123936498,-24.18852590167537,-25.764151397458466,1.306164662663287,4
9.827956485748292,0.07236373088935107,0.23184547424316407,0.023129895336915514,600,5,1,log2,15,"{'model__n_estimators': 600, 'model__min_samples_split': 5, 'model__min_samples_leaf': 1, 'model__max_features': 'log2', 'model__max_depth': 15}",-26.292736256259676,-26.316421667537004,-26.018576416453616,-28.71327720624523,-24.636753546817406,-26.39555301866259,1.3133290073582864,14
